region,x_quarter,target_quarter,data_type,feature,direction,weight,raw_value,z_score,pressure_z,contribution
강원특별자치도,2017Q1,2017Q2,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,4.075899128185689,0.7623602381719735,-0.7623602381719735,-0.11609056231994042
강원특별자치도,2017Q2,2017Q3,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,4.073069755504233,0.7606721235917455,-0.7606721235917455,-0.11583349989581783
강원특별자치도,2017Q3,2017Q4,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,4.436912818361449,0.9777551481609577,-0.9777551481609577,-0.1488904316854167
강원특별자치도,2017Q4,2018Q1,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,1.124429597607035,-0.9986021052912667,0.9986021052912667,0.15206496106764208
강원특별자치도,2018Q1,2018Q2,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,0.476680163678056,-1.3850747926528497,1.3850747926528497,0.21091618303678136
강원특별자치도,2018Q2,2018Q3,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,1.1537265582278078,-0.9811223908993003,0.9811223908993003,0.14940318810080802
강원특별자치도,2018Q3,2018Q4,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,2.4196617336152304,-0.22581587323868174,0.22581587323868174,0.03438675102981084
강원특별자치도,2018Q4,2019Q1,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,4.212367216512658,0.8437824456989108,-0.8437824456989108,-0.12848935935032904
강원특별자치도,2019Q1,2019Q2,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,2.933933197582061,0.08101862834797376,-0.08101862834797376,-0.01233734086900902
강원특별자치도,2019Q2,2019Q3,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,2.506916545649185,-0.17375623423992423,0.17375623423992423,0.026459222201667083
강원특별자치도,2019Q3,2019Q4,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,0.1269493957002376,-1.5937378692588529,1.5937378692588529,0.24269094342654776
강원특별자치도,2019Q4,2020Q1,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,1.2700188534609635,-0.9117378519031117,0.9117378519031117,0.13883746110579606
강원특별자치도,2020Q1,2020Q2,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,1.8632639744798007,-0.5577845727877252,0.5577845727877252,0.0849382240390502
강원특별자치도,2020Q2,2020Q3,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,2.188120450033093,-0.36396247347322597,0.36396247347322597,0.055423415457997484
강원특별자치도,2020Q3,2020Q4,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,4.543767781305408,1.0415090050132694,-1.0415090050132694,-0.15859873062529437
강원특별자치도,2020Q4,2021Q1,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,3.743862520458263,0.5642541907263006,-0.5642541907263006,-0.08592340341604042
강원특별자치도,2021Q1,2021Q2,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,5.246568378240979,1.4608273728110175,-1.4608273728110175,-0.222451621517722
강원특별자치도,2021Q2,2021Q3,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,5.21149564865413,1.4399016083926393,-1.4399016083926393,-0.21926509153272541
강원특별자치도,2021Q3,2021Q4,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,3.96371524354171,0.6954269378770725,-0.6954269378770725,-0.10589810463379906
강원특별자치도,2021Q4,2022Q1,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,5.511733385919948,1.619035204024934,-1.619035204024934,-0.2465431666553354
경기도,2017Q1,2017Q2,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,4.161159573530693,0.8132299598763412,-0.8132299598763412,-0.12383689312528175
경기도,2017Q2,2017Q3,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,3.6620029862301617,0.5154135858223208,-0.5154135858223208,-0.07848606211274173
경기도,2017Q3,2017Q4,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,4.47441239842068,1.0001288666411356,-1.0001288666411356,-0.1522974529720725
경기도,2017Q4,2018Q1,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,1.828580110257416,-0.5784783248961662,0.5784783248961662,0.08808942369308626
경기도,2018Q1,2018Q2,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,0.9093792957597602,-1.126909539801427,1.126909539801427,0.1716033386958223
경기도,2018Q2,2018Q3,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,2.096536713398645,-0.41860491847088743,0.41860491847088743,0.0637442483775181
경기도,2018Q3,2018Q4,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,2.7135110236385263,-0.05049387549372057,0.05049387549372057,0.0076890977601808755
경기도,2018Q4,2019Q1,train,regional_living_food_index_yoy_pct,-1,0.1522778294396732,3.836603327187671,0.6195869890699348,-0.6195869890699348,-0.09434936184463219
